month,pnl,n,hit_rate
2024-05,61.326998377874276,2,1.0
2024-06,-273.4177184234232,7,0.42857142857142855
2024-07,-238.70967741935482,4,0.25
2024-08,-200.0,2,0.0
2024-10,6967.731213386764,30,0.9666666666666667
2024-11,9987.151662372296,287,0.867595818815331
2024-12,24499.272668078916,1237,0.5739692805173807
2025-01,12808.618752540775,3732,0.5016077170418006
2025-02,50781.45807798187,2190,0.6
2025-03,47270.35849800426,4425,0.5459887005649717
2025-04,35827.286368505425,2792,0.5333094555873925
2025-05,75356.2421209081,2783,0.57599712540424
2025-06,86139.29026946772,6566,0.5504112092598233
2025-07,12421.025243456439,3603,0.4898695531501526
2025-08,88085.23978613678,5098,0.5390349156531973
2025-09,88551.90573493279,7069,0.5678313764323101
2025-10,113174.22430078665,8334,0.5599952003839693
2025-11,107312.65052125166,14873,0.5505950379883009
2025-12,295376.7031895257,21147,0.5796094008606422
