month,n_trades,pnl,n_wins,hit_rate
2022-12,1,-100.0,0,0.0
2023-01,23,1286.9693605685277,20,0.8695652173913043
2023-02,14,8.588451967718285,10,0.7142857142857143
2023-03,46,-1094.3706799197976,21,0.45652173913043476
2023-04,40,556.5327481780272,30,0.75
2023-05,76,481.1876059946534,45,0.5921052631578947
2023-06,62,1123.977121045327,57,0.9193548387096774
2023-07,195,3355.2378548628662,116,0.5948717948717949
2023-08,109,-588.3691171988878,78,0.7155963302752294
2023-09,178,-10967.908720573088,43,0.24157303370786518
2023-10,182,-1787.291711869662,112,0.6153846153846154
2023-11,335,8966.809567484352,228,0.6805970149253732
2023-12,196,-2215.02144793975,89,0.45408163265306123
2024-01,544,7433.871785335272,340,0.625
2024-02,823,27992.803300693377,494,0.6002430133657352
2024-03,909,20510.613151258705,476,0.5236523652365237
2024-04,779,-3733.7119339130645,398,0.5109114249037228
2024-05,1268,-12510.276212285882,588,0.4637223974763407
2024-06,1156,59823.09936431861,759,0.6565743944636678
2024-07,4604,87024.29400537115,2427,0.5271503040834057
2024-08,6914,-44151.28815357507,3389,0.4901648828463986
2024-09,20622,34841.66790158551,13262,0.6430996023664048
2024-10,59495,-269953.25604160904,40545,0.6814858391461467
2024-11,155803,-369866.8780978015,115008,0.7381629365288217
2024-12,103902,-487674.2790643618,72107,0.6939904910396335
2025-01,122095,47456.800025378485,88692,0.7264179532331382
2025-02,94290,9195.432517074656,65069,0.6900943896489553
2025-03,138914,-278628.27260302304,88910,0.6400362814403155
2025-04,144698,-975933.959881965,89897,0.6212732726091584
2025-05,148749,-510511.912940695,95366,0.6411202764388332
2025-06,153290,622446.549362877,94096,0.6138430425989954
2025-07,276487,-220654.14284696503,159198,0.5757883734135782
2025-08,767297,-2040672.4085276332,439864,0.5732643291971687
2025-09,798338,-2467847.9921318456,441916,0.5535449897161353
2025-10,1106986,-3316728.289264244,596215,0.5385930806713003
2025-11,242104,-117406.06752702386,132219,0.5461248058685524
