month,n_trades,pnl,hit_rate
2024-05,2,61.326998377874276,1.0
2024-06,7,-273.4177184234232,0.42857142857142855
2024-07,4,-238.70967741935482,0.25
2024-08,2,-200.0,0.0
2024-10,30,6967.731213386764,0.9666666666666667
2024-11,287,9987.151662372296,0.867595818815331
2024-12,1237,24499.272668078916,0.5739692805173807
2025-01,3732,12808.618752540775,0.5016077170418006
2025-02,2190,50781.45807798187,0.6
2025-03,4425,47270.35849800426,0.5459887005649717
2025-04,2792,35827.286368505425,0.5333094555873925
2025-05,2783,75356.2421209081,0.57599712540424
2025-06,6566,86139.29026946772,0.5504112092598233
2025-07,3603,12421.025243456439,0.4898695531501526
2025-08,5098,88085.23978613678,0.5390349156531973
2025-09,7069,88551.90573493279,0.5678313764323101
2025-10,8334,113174.22430078665,0.5599952003839693
2025-11,14873,107312.65052125166,0.5505950379883009
2025-12,21147,295376.7031895257,0.5796094008606422
